semester_zh,course_zh,nature_zh,credit,grade_zh,semester_en,course_en,nature_en,grade_en
2021-2022 学年 第 1 学期,大学体育（1）,必修课,1,100,Fall Term 2021-2022,Physical Education (1),Compulsory,100
2021-2022 学年 第 1 学期,高等数学（I-1）,必修课,4,100,Fall Term 2021-2022,Advanced Mathematics（I-1）,Compulsory,100
2021-2022 学年 第 1 学期,高等数学（I-1）习题课,必修课,1,100,Fall Term 2021-2022,Basic Experiments of Mathematics（II-1）,Compulsory,100
2021-2022 学年 第 1 学期,基础英语（1）,必修课,2,100,Fall Term 2021-2022,Basic English(1),Compulsory,100
2021-2022 学年 第 1 学期,计算机科学技术导论,必修课,2,100,Fall Term 2021-2022,Introduction to Computer Science and Technology,Compulsory,100
2021-2022 学年 第 1 学期,军事技能,必修课,1,100,Fall Term 2021-2022,Military Training,Compulsory,100
2021-2022 学年 第 1 学期,军事理论,必修课,1,100,Fall Term 2021-2022,Military Theory,Compulsory,100
2021-2022 学年 第 1 学期,数学基础实验（II-1）,必修课,1,100,Fall Term 2021-2022,Basic Experiments of Mathematics（II-1）,Compulsory,100
2021-2022 学年 第 1 学期,思想道德与法治,必修课,3,100,Fall Term 2021-2022,Ideological Morality and Rule of Law,Compulsory,100
2021-2022 学年 第 1 学期,线性代数,必修课,3,100,Fall Term 2021-2022,Linear Algebra,Compulsory,100
2021-2022 学年 第 1 学期,程序设计基础,必修课,3,100,Fall Term 2021-2022,Fundamentals of Programming,Compulsory,100
2021-2022 学年 第 1 学期,程序设计基础实验,必修课,1,100,Fall Term 2021-2022,Fundamental Programming Experiment,Compulsory,100
2021-2022 学年 第 1 学期,大学生劳动教育理论和实践(1),选修课,0.5,100,Fall Term 2021-2022,Theory and Practice of Labor Education for College Students(1),Selective,100
2021-2022 学年 第 2 学期,大学体育（2）,必修课,1,100,Spring Term 2021-2022,Physical Education (2),Compulsory,100
2021-2022 学年 第 2 学期,大学物理（III-1）,必修课,3,100,Spring Term 2021-2022,College Physics(III-1),Compulsory,100
2021-2022 学年 第 2 学期,高等数学（I-2）,必修课,4,100,Spring Term 2021-2022,Advanced Mathematics (I-2),Compulsory,100
2021-2022 学年 第 2 学期,高等数学（I-2）习题课,必修课,1,100,Spring Term 2021-2022,Exercises in Advanced Mathematics（I-2）,Compulsory,100
2021-2022 学年 第 2 学期,基础英语（2）,必修课,2,100,Spring Term 2021-2022,Basic English(2),Compulsory,100
2021-2022 学年 第 2 学期,离散数学（1）,必修课,3,100,Spring Term 2021-2022,Discrete Mathematics(1),Compulsory,100
2021-2022 学年 第 2 学期,面向对象程序设计,必修课,3,100,Spring Term 2021-2022,Object-Oriented Programming,Compulsory,100
2021-2022 学年 第 2 学期,面向对象程序设计实验,必修课,1,100,Spring Term 2021-2022,Lab of Object-Oriented Programming,Compulsory,100
2021-2022 学年 第 2 学期,数学基础实验（II-2）,必修课,1,100,Spring Term 2021-2022,Basic Experiments of Mathematics（II-2）,Compulsory,100
2021-2022 学年 第 2 学期,数字逻辑电路,必修课,3.5,100,Spring Term 2021-2022,Digital Logical Circuit,Compulsory,100
2021-2022 学年 第 2 学期,四史,必修课,2,100,Spring Term 2021-2022,"The history of the Communist Party of China, the history of new China, the history of Reform and Opening up, and the history of socialist development",Compulsory,100
2021-2022 学年 第 2 学期,习近平新时代中国特色社会主义思想概论,必修课,2,100,Spring Term 2021-2022,An Introduction to Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era,Compulsory,100
2021-2022 学年 第 2 学期,信息检索与利用（理科）,选修课,2,100,Spring Term 2021-2022,Information Retrieval and Utilization（Science）,Selective,100
2021-2022 学年 第 2 学期,中国近现代史纲要,必修课,2,100,Spring Term 2021-2022,Modern and Contemporary History of China,Compulsory,100
2022-2023 学年 第 1 学期,JAVA语言程序设计,选修课,2.5,100,Fall Term 2022-2023,JAVA Programming,Selective,100
2022-2023 学年 第 1 学期,程序设计课程项目,必修课,1,100,Fall Term 2022-2023,Course Project of C/C++ Programming,Compulsory,100
2022-2023 学年 第 1 学期,大学体育（3）,必修课,1,100,Fall Term 2022-2023,Physical Education (3),Compulsory,100
2022-2023 学年 第 1 学期,大学物理（III-2）,必修课,2,100,Fall Term 2022-2023,College Physics(III-2),Compulsory,100
2022-2023 学年 第 1 学期,大学物理（III）实验,必修课,1,100,Fall Term 2022-2023,College Physics（III) Experiment,Compulsory,100
2022-2023 学年 第 1 学期,概率论与数理统计,必修课,4,100,Fall Term 2022-2023,Probability and Mathematical Statistics,Compulsory,100
2022-2023 学年 第 1 学期,基础英语（3）,必修课,2,100,Fall Term 2022-2023,Basic English(3),Compulsory,100
2022-2023 学年 第 1 学期,计算机组成原理,必修课,4.5,100,Fall Term 2022-2023,Computer Organization and Architecture,Compulsory,100
2022-2023 学年 第 1 学期,离散数学（2）,必修课,3,100,Fall Term 2022-2023,Discrete Mathematics(2),Compulsory,100
2022-2023 学年 第 1 学期,逻辑与批判性思维,选修课,2,100,Fall Term 2022-2023,Logic and Critical Thinking,Selective,100
2022-2023 学年 第 1 学期,毛泽东思想和中国特色社会主义理论体系概论,必修课,4,100,Fall Term 2022-2023,Introduction to Mao Zedong Thought and Socialist Theory with Chinese Characteristics,Compulsory,100
2022-2023 学年 第 1 学期,面向信息时代的计算机数学,选修课,2,100,Fall Term 2022-2023,Mathematics for Computer Science in Information Age,Selective,100
2022-2023 学年 第 1 学期,数据结构,必修课,4,100,Fall Term 2022-2023,Data Structure,Compulsory,100
2022-2023 学年 第 1 学期,数据结构实验,必修课,1,100,Fall Term 2022-2023,Lab of Data Structure,Compulsory,100
2022-2023 学年 第 2 学期,Python语言程序设计,必修课,2.5,100,Spring Term 2022-2023,Python Programming,Compulsory,100
2022-2023 学年 第 2 学期,操作系统,必修课,3,100,Spring Term 2022-2023,Operating System,Compulsory,100
2022-2023 学年 第 2 学期,大学体育（4）,必修课,1,100,Spring Term 2022-2023,Physical Education (4),Compulsory,100
2022-2023 学年 第 2 学期,基础英语（4）,必修课,2,100,Spring Term 2022-2023,Basic English(4),Compulsory,100
2022-2023 学年 第 2 学期,计算机网络,必修课,4.5,100,Spring Term 2022-2023,Computer Network,Compulsory,100
2022-2023 学年 第 2 学期,计算机组成原理项目,必修课,1,100,Spring Term 2022-2023,Project of Computer Composition Principles,Compulsory,100
2022-2023 学年 第 2 学期,马克思主义基本原理,必修课,3,100,Spring Term 2022-2023,Basic Principles of Marxism,Compulsory,100
2022-2023 学年 第 2 学期,人工智能导论,选修课,2,100,Spring Term 2022-2023,Introduction to Artificial Intelligence,Selective,100
2022-2023 学年 第 2 学期,数据结构与算法课程项目,必修课,1,100,Spring Term 2022-2023,Projects for Data Structures and Algorithms,Compulsory,100
2022-2023 学年 第 2 学期,数据库系统原理,必修课,3.5,100,Spring Term 2022-2023,Principles of Database Systems,Compulsory,100
2022-2023 学年 第 2 学期,算法设计与分析,必修课,3,100,Spring Term 2022-2023,Design and Analysis of Algorithms,Compulsory,100
2022-2023 学年 第 2 学期,湾区地理生态：探秘之旅,选修课,2,100,Spring Term 2022-2023,Geography and Ecology of the Greater Bay Area of Guangdong-Hong Kong- Macau: A Mystery Tour,Selective,100
2022-2023 学年 第 2 学期,物联网技术基础,选修课,2.5,100,Spring Term 2022-2023,Foundation of Internet of Things Technology,Selective,100
2023-2024 学年 第 1 学期,编译原理,必修课,3,100,Fall Term 2023-2024,Compiler Principles,Compulsory,100
2023-2024 学年 第 1 学期,操作系统课程项目,必修课,1,100,Fall Term 2023-2024,Operating Systems Project,Compulsory,100
2023-2024 学年 第 1 学期,初级软件设计实作,选修课,1,100,Fall Term 2023-2024,Primary Software Design Practice,Selective,100
2023-2024 学年 第 1 学期,大数据处理技术与应用,选修课,2.5,100,Fall Term 2023-2024,Big Data Processing Technology and Application,Selective,100
2023-2024 学年 第 1 学期,法国史,选修课,2,100,Fall Term 2023-2024,The History of France,Selective,100
2023-2024 学年 第 1 学期,工程实训,必修课,2,100,Fall Term 2023-2024,Engineering Project Training,Compulsory,100
2023-2024 学年 第 1 学期,机器人基础,选修课,2.5,100,Fall Term 2023-2024,Fundamentals of Robotics Technology,Selective,100
2023-2024 学年 第 1 学期,计算机安全学,选修课,3,100,Fall Term 2023-2024,Computer Security,Selective,100
2023-2024 学年 第 1 学期,计算机网络课程实训,必修课,1,100,Fall Term 2023-2024,Course Design of Computer Network,Compulsory,100
2023-2024 学年 第 1 学期,科技文献阅读与写作,选修课,1,100,Fall Term 2023-2024,Scientific Reading and Writing,Selective,100
